lemma,pos,neg,score
aleksandr aleksandrovich blok,0.125,0.0,0.125
aleksandr borodin,0.0,0.0,0.0
aleksandr feodorovich kerensky,0.0,0.0,0.0
aleksandr i. solzhenitsyn,0.0,0.0,0.0
aleksandr isaevich solzhenitsyn,0.0,0.0,0.0
aleksandr isayevich solzhenitsyn,0.0,0.0,0.0
aleksandr mikjailovich prokhorov,0.0,0.0,0.0
aleksandr nikolayevich scriabin,0.0,0.0,0.0
aleksandr pavlovich,0.0,0.0,0.0
aleksandr porfirevich borodin,0.0,0.0,0.0
aleksandr prokhorov,0.0,0.0,0.0
aleksandr pushkin,0.125,0.0,0.125
aleksandr scriabin,0.0,0.0,0.0
aleksandr sergeyevich pushkin,0.125,0.0,0.125
aleksandr solzhenitsyn,0.0,0.0,0.0
aleksey maksimovich peshkov,0.0,0.0,0.0
aleksey maximovich peshkov,0.0,0.0,0.0
aleksia,0.125,0.5,-0.375
alekto,0.0,0.0,0.0
alel,0.0,0.0,0.0
alem,0.375,0.5,-0.125
aleman,0.375,0.5,-0.125
alep,0.0,0.0,0.0
aleppo,0.0,0.0,0.0
alergen,0.0,0.0,0.0
alergi,0.0,0.625,-0.625
alessandro farnese,0.0,0.0,0.0
alessandro manzoni,0.0,0.0,0.0
aletta jacobs,0.0,0.0,0.0
alex haley,0.0,0.0,0.0
alexander,0.0,0.0,0.0
alexander alexandrovich blok,0.125,0.0,0.125
alexander bell,0.0,0.0,0.0
alexander calder,0.0,0.0,0.0
alexander fleming,0.0,0.0,0.0
alexander graham bell,0.0,0.0,0.0
alexander hamilton,0.0,0.0,0.0
alexander i,0.0,0.0,0.0
alexander isayevich solzhenitsyn,0.0,0.0,0.0
alexander melville bell,0.0,0.0,0.0
alexander pope,0.0,0.0,0.0
alexander pushkin,0.125,0.0,0.125
alexander selcraig,0.0,0.0,0.0
alexander selkirk,0.0,0.0,0.0
alexander solzhenitsyn,0.0,0.0,0.0
alexander wilson,0.0,0.0,0.0
alexander woollcott,0.0,0.0,0.0
alexandre dumas,0.0,0.0,0.0
alexandre emile jean yersin,0.0,0.0,0.0
alexandre gustave eiffel,0.0,0.0,0.0
alexandre yersin,0.0,0.0,0.0
alexandria,0.0,0.0,0.0
"alexandria, virginia",0.0,0.0,0.0
alexis carrel,0.0,0.0,0.0
alfa,0.0,0.0,0.0
alfabet,0.0,0.0,0.0
alfabet armenia,0.0,0.0,0.0
alfabet ibrani,0.0,0.0,0.0
alfabet latin,0.0,0.0,0.0
alfabet morse,0.0,0.0,0.0
alfabet yunani,0.0,0.0,0.0
alfabetis,0.0,0.0,0.0
alfonso borgia,0.0,0.0,0.0
alfred,0.0,0.0,0.0
alfred alistair cooke,0.0,0.0,0.0
alfred bernhard nobel,0.0,0.0,0.0
alfred binet,0.0,0.0,0.0
alfred charles kinsey,0.0,0.0,0.0
alfred charles william harmsworth,0.0,0.0,0.0
alfred damon runyon,0.0,0.0,0.0
alfred dreyfus,0.0,0.0,0.0
alfred edward housman,0.125,0.0,0.125
alfred edward woodley mason,0.0,0.0,0.0
alfred eisenstaedt,0.0,0.0,0.0
alfred habdank skarbek korzybski,0.0,0.0,0.0
alfred hawthorne,0.0,0.0,0.0
alfred hitchcock,0.0,0.0,0.0
alfred joseph hitchcock,0.0,0.0,0.0
alfred kastler,0.0,0.0,0.0
alfred korzybski,0.0,0.0,0.0
alfred kroeber,0.0,0.0,0.0
alfred krupp,0.0,0.0,0.0
alfred lord tennyson,0.125,0.0,0.125
alfred lothar wegener,0.0,0.0,0.0
alfred louis kroeber,0.0,0.0,0.0
alfred lunt,0.0,0.0,0.0
alfred n whitehead,0.0,0.0,0.0
alfred n. whitehead,0.0,0.0,0.0
alfred nobel,0.0,0.0,0.0
alfred north whitehead,0.0,0.0,0.0
alfred noyes,0.125,0.0,0.125
alfred russel wallace,0.0,0.0,0.0
alfred stieglitz,0.0,0.0,0.0
alfred tennyson,0.125,0.0,0.125
alfred thayer mahan,0.0,0.0,0.0
alfred wallace,0.0,0.0,0.0
alga,0.0,0.25,-0.25
alger,0.125,0.0,0.125
algeria,0.0,0.0,0.0
algerie,0.0,0.0,0.0
algernon charles swinburne,0.125,0.0,0.125
algiers,0.0,0.0,0.0
